COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
22081,0.068,0.081,0.149,0.135,0.189,0.527,0.716,LA
22083,0.066,0.08,0.146,0.126,0.194,0.534,0.728,LA
22085,0.098,0.08,0.178,0.113,0.145,0.564,0.709,LA
22087,0.035,0.075,0.11,0.136,0.23,0.524,0.754,LA
22089,0.093,0.048,0.141,0.027,0.165,0.667,0.832,LA
22091,0.064,0.126,0.19,0.138,0.237,0.434,0.671,LA
22093,0.034,0.099,0.133,0.202,0.061,0.603,0.664,LA
22095,0.096,0.059,0.155,0.19,0.079,0.577,0.656,LA
22097,0.064,0.105,0.169,0.117,0.199,0.515,0.714,LA
22099,0.069,0.11,0.179,0.096,0.178,0.548,0.726,LA
22101,0.066,0.02,0.086,0.179,0.28,0.454,0.734,LA
22103,0.031,0.073,0.104,0.074,0.211,0.611,0.822,LA
22105,0.066,0.072,0.138,0.103,0.193,0.566,0.759,LA
22107,0.081,0.064,0.145,0.097,0.134,0.625,0.759,LA
22109,0.068,0.052,0.12,0.14,0.221,0.519,0.74,LA
22111,0.071,0.142,0.213,0.106,0.244,0.436,0.68,LA
22113,0.076,0.088,0.164,0.115,0.271,0.449,0.72,LA
22115,0.092,0.066,0.158,0.145,0.244,0.453,0.697,LA
22117,0.103,0.046,0.149,0.148,0.242,0.461,0.703,LA
22119,0.134,0.044,0.178,0.063,0.265,0.494,0.759,LA
22121,0.044,0.04,0.084,0.07,0.197,0.649,0.846,LA
22123,0.022,0.063,0.085,0.124,0.114,0.677,0.791,LA
22125,0.072,0.13,0.202,0.037,0.265,0.496,0.761,LA
22127,0.086,0.106,0.192,0.13,0.236,0.443,0.679,LA
MAX,0.249,0.142,0.36,0.213,0.366,0.685,0.86,LA
MIN,0.019,0.02,0.053,0.027,0.061,0.354,0.55,LA
AVERAGE,0.082328125,0.072453125,0.15478125,0.11440625,0.20715625,0.52365625,0.7308125,LA
23001,0.083,0.099,0.182,0.041,0.199,0.577,0.776,ME
23003,0.143,0.047,0.19,0.12,0.243,0.447,0.69,ME
23005,0.05,0.053,0.103,0.046,0.182,0.669,0.851,ME
23007,0.006,0.063,0.069,0.191,0.161,0.579,0.74,ME
23009,0.034,0.052,0.086,0.118,0.202,0.594,0.796,ME
23011,0.016,0.074,0.09,0.125,0.245,0.54,0.785,ME
23013,0.007,0.01,0.017,0.111,0.248,0.625,0.873,ME
23015,0.031,0.014,0.045,0.065,0.204,0.688,0.892,ME
23017,0.069,0.065,0.134,0.064,0.213,0.589,0.802,ME
23019,0.038,0.071,0.109,0.085,0.189,0.617,0.806,ME
23021,0.062,0.146,0.208,0.123,0.189,0.479,0.668,ME
23023,0.061,0.026,0.087,0.033,0.216,0.664,0.88,ME
23025,0.035,0.095,0.13,0.142,0.17,0.558,0.728,ME
23027,0.023,0.06,0.083,0.15,0.182,0.585,0.767,ME
23029,0.026,0.032,0.058,0.126,0.204,0.612,0.816,ME
23031,0.076,0.036,0.112,0.061,0.173,0.655,0.828,ME
MAX,0.143,0.146,0.208,0.191,0.248,0.688,0.892,ME
MIN,0.006,0.01,0.017,0.033,0.161,0.447,0.668,ME
AVERAGE,0.0475,0.0589375,0.1064375,0.1000625,0.20125,0.592375,0.793625,ME
24001,0.007,0.01,0.017,0.035,0.213,0.736,0.949,MD
24003,0.018,0.022,0.04,0.067,0.154,0.739,0.893,MD
24005,0.013,0.024,0.037,0.043,0.142,0.777,0.919,MD
24009,0.049,0.049,0.098,0.071,0.11,0.72,0.83,MD
24011,0.009,0.019,0.028,0.033,0.168,0.77,0.938,MD
24013,0.014,0.008,0.022,0.062,0.17,0.746,0.916,MD
24015,0.009,0.018,0.027,0.054,0.182,0.738,0.92,MD
24017,0.035,0.034,0.069,0.107,0.157,0.667,0.824,MD
24019,0.02,0.006,0.026,0.011,0.119,0.844,0.963,MD
24021,0.028,0.036,0.064,0.062,0.113,0.762,0.875,MD
24023,0.077,0.008,0.085,0.04,0.305,0.571,0.876,MD
24025,0.008,0.009,0.017,0.037,0.168,0.778,0.946,MD
24027,0.024,0.015,0.039,0.067,0.17,0.723,0.893,MD
24029,0.005,0.014,0.019,0.06,0.207,0.714,0.921,MD
24031,0.025,0.029,0.054,0.041,0.128,0.777,0.905,MD
24033,0.087,0.034,0.121,0.064,0.094,0.72,0.814,MD
24035,0.002,0.042,0.044,0.041,0.309,0.605,0.914,MD
24037,0.04,0.009,0.049,0.036,0.152,0.763,0.915,MD
24039,0.004,0.01,0.014,0.047,0.128,0.812,0.94,MD
24041,0.012,0.012,0.024,0.006,0.127,0.843,0.97,MD
24043,0.031,0.047,0.078,0.085,0.194,0.642,0.836,MD
24045,0.006,0.011,0.017,0.063,0.116,0.804,0.92,MD
24047,0.003,0.004,0.007,0.042,0.11,0.842,0.952,MD
24510,0.024,0.032,0.056,0.063,0.148,0.733,0.881,MD
MAX,0.087,0.049,0.121,0.107,0.309,0.844,0.97,MD
MIN,0.002,0.004,0.007,0.006,0.094,0.571,0.814,MD
AVERAGE,0.022916667,0.020916667,0.043833333,0.051541667,0.161833333,0.74275,0.903615385,MD
25001,0.019,0.007,0.026,0.026,0.109,0.839,0.948,MA
25003,0.03,0.004,0.034,0.049,0.082,0.834,0.916,MA
25005,0.016,0.02,0.036,0.056,0.161,0.747,0.908,MA
25007,0.006,0.01,0.016,0.037,0.16,0.786,0.946,MA
25009,0.023,0.01,0.033,0.047,0.131,0.788,0.919,MA
25011,0.043,0.011,0.054,0.028,0.156,0.762,0.918,MA
25013,0.013,0.017,0.03,0.055,0.13,0.786,0.916,MA
25015,0.011,0.006,0.017,0.017,0.109,0.857,0.966,MA
25017,0.023,0.011,0.034,0.041,0.127,0.798,0.925,MA
25019,0.015,0.003,0.018,0.034,0.156,0.792,0.948,MA
25021,0.02,0.015,0.035,0.035,0.125,0.805,0.93,MA
25023,0.014,0.017,0.031,0.045,0.112,0.812,0.924,MA
25025,0.02,0.007,0.027,0.049,0.136,0.788,0.924,MA
25027,0.02,0.027,0.047,0.043,0.142,0.768,0.91,MA
MAX,0.043,0.027,0.054,0.056,0.161,0.857,0.966,MA
MIN,0.006,0.003,0.016,0.017,0.082,0.747,0.908,MA
AVERAGE,0.0195,0.011785714,0.031285714,0.040142857,0.131142857,0.797285714,0.928428571,MA
26001,0.065,0.046,0.111,0.133,0.18,0.576,0.756,MI
26003,0.025,0.034,0.059,0.118,0.229,0.595,0.824,MI
26005,0.05,0.035,0.085,0.133,0.283,0.5,0.783,MI
26007,0.025,0.04,0.065,0.144,0.18,0.612,0.792,MI
26009,0.027,0.042,0.069,0.088,0.218,0.625,0.843,MI
26011,0.052,0.136,0.188,0.076,0.252,0.484,0.736,MI
26013,0.012,0.063,0.075,0.109,0.257,0.558,0.815,MI
26015,0.043,0.121,0.164,0.121,0.211,0.504,0.715,MI
26017,0.014,0.055,0.069,0.103,0.202,0.627,0.829,MI
26019,0.01,0.049,0.059,0.062,0.164,0.715,0.879,MI
26021,0.039,0.037,0.076,0.122,0.247,0.555,0.802,MI
26023,0.072,0.091,0.163,0.205,0.234,0.399,0.633,MI
26025,0.063,0.121,0.184,0.078,0.178,0.559,0.737,MI
26027,0.046,0.076,0.122,0.123,0.274,0.48,0.754,MI
26029,0.027,0.057,0.084,0.085,0.205,0.626,0.831,MI
26031,0.027,0.052,0.079,0.086,0.252,0.584,0.836,MI
26033,0.03,0.022,0.052,0.068,0.287,0.593,0.88,MI
26035,0.05,0.026,0.076,0.102,0.308,0.514,0.822,MI
26037,0.033,0.056,0.089,0.046,0.263,0.603,0.866,MI
26039,0.043,0.05,0.093,0.061,0.181,0.666,0.847,MI
26041,0.058,0.023,0.081,0.17,0.217,0.532,0.749,MI
26043,0.043,0.065,0.108,0.127,0.249,0.516,0.765,MI
26045,0.047,0.039,0.086,0.147,0.247,0.52,0.767,MI
26047,0.025,0.062,0.087,0.075,0.219,0.618,0.837,MI
26049,0.032,0.043,0.075,0.104,0.288,0.533,0.821,MI
26051,0.025,0.024,0.049,0.109,0.338,0.503,0.841,MI
26053,0.039,0.064,0.103,0.139,0.257,0.501,0.758,MI
26055,0.004,0.041,0.045,0.082,0.2,0.672,0.872,MI
26057,0.057,0.074,0.131,0.105,0.169,0.596,0.765,MI
26059,0.135,0.075,0.21,0.119,0.247,0.424,0.671,MI
26061,0.008,0.078,0.086,0.129,0.281,0.505,0.786,MI
26063,0.08,0.072,0.152,0.032,0.271,0.544,0.815,MI
26065,0.062,0.03,0.092,0.076,0.237,0.595,0.832,MI
26067,0.035,0.203,0.238,0.139,0.229,0.394,0.623,MI
26069,0.1,0.084,0.184,0.099,0.206,0.511,0.717,MI
26071,0.046,0.068,0.114,0.126,0.227,0.533,0.76,MI
26073,0.096,0.057,0.153,0.112,0.191,0.544,0.735,MI
26075,0.11,0.08,0.19,0.133,0.166,0.511,0.677,MI
26077,0.02,0.059,0.079,0.062,0.167,0.693,0.86,MI
26079,0.018,0.037,0.055,0.07,0.228,0.646,0.874,MI
26081,0.019,0.061,0.08,0.063,0.215,0.641,0.856,MI
26083,0.006,0.071,0.077,0.129,0.277,0.518,0.795,MI
26085,0.052,0.122,0.174,0.073,0.204,0.548,0.752,MI
26087,0.036,0.105,0.141,0.104,0.133,0.622,0.755,MI
26089,0.003,0.038,0.041,0.092,0.203,0.663,0.866,MI
26091,0.018,0.027,0.045,0.083,0.26,0.612,0.872,MI
26093,0.042,0.021,0.063,0.052,0.198,0.687,0.885,MI
26095,0.028,0.03,0.058,0.088,0.237,0.617,0.854,MI
26097,0.032,0.04,0.072,0.073,0.256,0.599,0.855,MI
26099,0.034,0.043,0.077,0.09,0.145,0.688,0.833,MI
26101,0.035,0.05,0.085,0.087,0.121,0.707,0.828,MI
26103,0.016,0.045,0.061,0.11,0.251,0.578,0.829,MI
26105,0.046,0.054,0.1,0.199,0.14,0.561,0.701,MI
26107,0.091,0.104,0.195,0.087,0.243,0.475,0.718,MI
26109,0.059,0.073,0.132,0.068,0.253,0.547,0.8,MI
26111,0.031,0.03,0.061,0.098,0.214,0.626,0.84,MI
26113,0.025,0.036,0.061,0.082,0.191,0.666,0.857,MI
26115,0.066,0.035,0.101,0.054,0.183,0.663,0.846,MI
26117,0.028,0.137,0.165,0.167,0.21,0.458,0.668,MI
26119,0.044,0.071,0.115,0.126,0.186,0.574,0.76,MI
26121,0.084,0.045,0.129,0.1,0.16,0.611,0.771,MI
26123,0.099,0.121,0.22,0.027,0.3,0.454,0.754,MI
26125,0.028,0.027,0.055,0.049,0.169,0.727,0.896,MI
26127,0.074,0.033,0.107,0.114,0.163,0.616,0.779,MI
26129,0.061,0.117,0.178,0.106,0.259,0.458,0.717,MI
26131,0.025,0.086,0.111,0.123,0.265,0.501,0.766,MI
26133,0.07,0.073,0.143,0.089,0.238,0.531,0.769,MI
26135,0.057,0.073,0.13,0.096,0.181,0.593,0.774,MI
26137,0.06,0.068,0.128,0.097,0.172,0.602,0.774,MI
26139,0.042,0.057,0.099,0.12,0.251,0.531,0.782,MI
26141,0.02,0.04,0.06,0.143,0.223,0.575,0.798,MI
26143,0.012,0.037,0.049,0.097,0.217,0.637,0.854,MI
26145,0.031,0.073,0.104,0.082,0.197,0.616,0.813,MI
26147,0.051,0.069,0.12,0.046,0.194,0.64,0.834,MI
26149,0.048,0.079,0.127,0.197,0.189,0.488,0.677,MI
26151,0.078,0.112,0.19,0.077,0.21,0.522,0.732,MI
26153,0.041,0.021,0.062,0.14,0.187,0.611,0.798,MI
26155,0.116,0.046,0.162,0.065,0.297,0.475,0.772,MI
26157,0.091,0.05,0.141,0.078,0.246,0.536,0.782,MI
26159,0.025,0.068,0.093,0.137,0.183,0.587,0.77,MI
26161,0.019,0.022,0.041,0.046,0.18,0.733,0.913,MI
26163,0.046,0.032,0.078,0.075,0.156,0.69,0.846,MI
26165,0.036,0.056,0.092,0.077,0.171,0.659,0.83,MI
MAX,0.135,0.203,0.238,0.205,0.338,0.733,0.913,MI
MIN,0.003,0.021,0.041,0.027,0.121,0.394,0.623,MI
AVERAGE,0.044795181,0.06126506,0.106060241,0.100289157,0.218879518,0.574807229,0.793686747,MI
27001,0.187,0.115,0.302,0.075,0.247,0.375,0.622,MN
27003,0.054,0.078,0.132,0.132,0.245,0.492,0.737,MN
27005,0.052,0.28,0.332,0.175,0.24,0.252,0.492,MN
27007,0.094,0.155,0.249,0.225,0.185,0.34,0.525,MN
27009,0.084,0.139,0.223,0.209,0.147,0.42,0.567,MN
27011,0.256,0.121,0.377,0.185,0.146,0.292,0.438,MN
27013,0.065,0.078,0.143,0.146,0.276,0.435,0.711,MN
27015,0.101,0.061,0.162,0.251,0.265,0.322,0.587,MN
27017,0.058,0.054,0.112,0.09,0.329,0.469,0.798,MN
27019,0.024,0.128,0.152,0.183,0.296,0.368,0.664,MN
27021,0.105,0.127,0.232,0.107,0.235,0.426,0.661,MN
27023,0.108,0.106,0.214,0.244,0.224,0.318,0.542,MN
27025,0.064,0.104,0.168,0.165,0.253,0.414,0.667,MN
27027,0.092,0.121,0.213,0.138,0.23,0.419,0.649,MN
27029,0.065,0.21,0.275,0.203,0.172,0.351,0.523,MN
27031,0.184,0.02,0.204,0.038,0.257,0.5,0.757,MN
27033,0.216,0.045,0.261,0.262,0.215,0.263,0.478,MN
27035,0.147,0.112,0.259,0.081,0.249,0.411,0.66,MN
27037,0.072,0.076,0.148,0.129,0.236,0.488,0.724,MN
27039,0.035,0.096,0.131,0.071,0.325,0.473,0.798,MN
27041,0.099,0.178,0.277,0.148,0.225,0.35,0.575,MN
27043,0.078,0.158,0.236,0.163,0.261,0.34,0.601,MN
27045,0.026,0.102,0.128,0.099,0.29,0.483,0.773,MN
27047,0.135,0.085,0.22,0.206,0.283,0.291,0.574,MN
27049,0.03,0.039,0.069,0.138,0.28,0.513,0.793,MN
27051,0.11,0.137,0.247,0.193,0.165,0.396,0.561,MN
27053,0.021,0.044,0.065,0.096,0.243,0.596,0.839,MN
27055,0.072,0.08,0.152,0.086,0.283,0.478,0.761,MN
27057,0.078,0.15,0.228,0.164,0.227,0.38,0.607,MN
27059,0.104,0.099,0.203,0.215,0.14,0.442,0.582,MN
27061,0.162,0.142,0.304,0.151,0.209,0.336,0.545,MN
27063,0.325,0.024,0.349,0.14,0.171,0.34,0.511,MN
27065,0.223,0.148,0.371,0.137,0.146,0.346,0.492,MN
27067,0.109,0.107,0.216,0.182,0.29,0.312,0.602,MN
27069,0.068,0.168,0.236,0.221,0.251,0.292,0.543,MN
27071,0.159,0.183,0.342,0.087,0.255,0.316,0.571,MN
27073,0.184,0.096,0.28,0.248,0.179,0.293,0.472,MN
27075,0.087,0.033,0.12,0.075,0.341,0.464,0.805,MN
27077,0.091,0.171,0.262,0.176,0.249,0.313,0.562,MN
27079,0.055,0.168,0.223,0.147,0.254,0.377,0.631,MN
27081,0.11,0.078,0.188,0.203,0.292,0.317,0.609,MN
27083,0.134,0.075,0.209,0.242,0.21,0.339,0.549,MN
27085,0.061,0.176,0.237,0.193,0.383,0.186,0.569,MN
27087,0.07,0.279,0.349,0.083,0.185,0.382,0.567,MN
27089,0.078,0.152,0.23,0.221,0.234,0.315,0.549,MN
27091,0.18,0.115,0.295,0.134,0.205,0.366,0.571,MN
27093,0.072,0.144,0.216,0.094,0.323,0.367,0.69,MN
27095,0.224,0.122,0.346,0.159,0.146,0.349,0.495,MN
27097,0.14,0.126,0.266,0.121,0.24,0.373,0.613,MN
27099,0.071,0.107,0.178,0.113,0.262,0.448,0.71,MN
27101,0.131,0.071,0.202,0.224,0.27,0.303,0.573,MN
27103,0.063,0.085,0.148,0.164,0.296,0.392,0.688,MN
27105,0.244,0.078,0.322,0.18,0.215,0.284,0.499,MN
27107,0.122,0.154,0.276,0.109,0.186,0.428,0.614,MN
27109,0.023,0.101,0.124,0.057,0.333,0.485,0.818,MN
27111,0.078,0.182,0.26,0.278,0.17,0.291,0.461,MN
27113,0.081,0.197,0.278,0.211,0.205,0.306,0.511,MN
27115,0.178,0.143,0.321,0.074,0.242,0.364,0.606,MN
27117,0.088,0.182,0.27,0.132,0.281,0.317,0.598,MN
27119,0.104,0.208,0.312,0.197,0.196,0.295,0.491,MN
27121,0.139,0.147,0.286,0.103,0.216,0.395,0.611,MN
27123,0.044,0.046,0.09,0.086,0.259,0.564,0.823,MN
27125,0.095,0.241,0.336,0.194,0.184,0.286,0.47,MN
27127,0.081,0.123,0.204,0.248,0.255,0.293,0.548,MN
27129,0.05,0.136,0.186,0.193,0.374,0.247,0.621,MN
27131,0.089,0.038,0.127,0.117,0.301,0.454,0.755,MN
27133,0.095,0.22,0.315,0.11,0.247,0.328,0.575,MN
27135,0.077,0.151,0.228,0.211,0.234,0.327,0.561,MN
27137,0.095,0.052,0.147,0.098,0.297,0.457,0.754,MN
27139,0.021,0.057,0.078,0.12,0.319,0.482,0.801,MN
27141,0.064,0.175,0.239,0.175,0.239,0.346,0.585,MN
27143,0.04,0.175,0.215,0.172,0.38,0.233,0.613,MN
27145,0.082,0.142,0.224,0.187,0.174,0.415,0.589,MN
27147,0.074,0.062,0.136,0.144,0.354,0.365,0.719,MN
27149,0.169,0.126,0.295,0.117,0.192,0.397,0.589,MN
27151,0.17,0.113,0.283,0.152,0.212,0.353,0.565,MN
27153,0.097,0.198,0.295,0.146,0.196,0.363,0.559,MN
27155,0.196,0.139,0.335,0.16,0.11,0.395,0.505,MN
27157,0.041,0.085,0.126,0.129,0.318,0.427,0.745,MN
27159,0.061,0.211,0.272,0.157,0.203,0.367,0.57,MN
27161,0.074,0.048,0.122,0.117,0.332,0.429,0.761,MN
27163,0.044,0.088,0.132,0.103,0.262,0.503,0.765,MN
27165,0.149,0.053,0.202,0.225,0.221,0.352,0.573,MN
27167,0.166,0.148,0.314,0.239,0.096,0.352,0.448,MN
27169,0.029,0.151,0.18,0.057,0.328,0.435,0.763,MN
27171,0.083,0.109,0.192,0.162,0.259,0.387,0.646,MN
27173,0.122,0.096,0.218,0.254,0.202,0.326,0.528,MN
MAX,0.325,0.28,0.377,0.278,0.383,0.596,0.839,MN
MIN,0.021,0.02,0.065,0.038,0.096,0.186,0.438,MN
AVERAGE,0.103195402,0.122333333,0.225528736,0.155701149,0.243126437,0.375528736,0.618655172,MN
28001,0.113,0.112,0.225,0.131,0.084,0.56,0.644,MS
28003,0.069,0.131,0.2,0.15,0.222,0.428,0.65,MS
28005,0.11,0.092,0.202,0.122,0.204,0.473,0.677,MS
28007,0.065,0.104,0.169,0.092,0.139,0.601,0.74,MS
28009,0.018,0.014,0.032,0.246,0.233,0.489,0.722,MS
28011,0.123,0.046,0.169,0.127,0.249,0.456,0.705,MS
28013,0.074,0.161,0.235,0.092,0.179,0.494,0.673,MS
28015,0.08,0.144,0.224,0.119,0.12,0.537,0.657,MS
28017,0.07,0.134,0.204,0.088,0.182,0.525,0.707,MS
28019,0.035,0.094,0.129,0.064,0.219,0.588,0.807,MS
28021,0.038,0.061,0.099,0.088,0.214,0.598,0.812,MS
28023,0.044,0.021,0.065,0.133,0.205,0.597,0.802,MS
28025,0.029,0.082,0.111,0.098,0.214,0.577,0.791,MS
28027,0.038,0.056,0.094,0.118,0.33,0.459,0.789,MS
28029,0.073,0.084,0.157,0.134,0.157,0.552,0.709,MS
28031,0.11,0.105,0.215,0.085,0.193,0.506,0.699,MS
28033,0.055,0.078,0.133,0.088,0.236,0.543,0.779,MS
28035,0.072,0.042,0.114,0.091,0.267,0.527,0.794,MS
28037,0.087,0.112,0.199,0.154,0.138,0.509,0.647,MS
28039,0.037,0.102,0.139,0.088,0.346,0.428,0.774,MS
28041,0.015,0.112,0.127,0.07,0.262,0.541,0.803,MS
28043,0.056,0.135,0.191,0.133,0.189,0.486,0.675,MS
28045,0.063,0.09,0.153,0.089,0.254,0.503,0.757,MS
28047,0.093,0.071,0.164,0.142,0.237,0.457,0.694,MS
28049,0.019,0.096,0.115,0.115,0.183,0.588,0.771,MS
28051,0.062,0.072,0.134,0.095,0.099,0.672,0.771,MS
28053,0.117,0.071,0.188,0.098,0.104,0.61,0.714,MS
28055,0.03,0.06,0.09,0.137,0.162,0.612,0.774,MS
28057,0.116,0.074,0.19,0.155,0.191,0.464,0.655,MS
28059,0.077,0.092,0.169,0.12,0.24,0.472,0.712,MS
28061,0.066,0.09,0.156,0.144,0.167,0.533,0.7,MS
28063,0.076,0.083,0.159,0.137,0.15,0.555,0.705,MS
28065,0.141,0.132,0.273,0.101,0.181,0.445,0.626,MS
28067,0.069,0.079,0.148,0.118,0.169,0.565,0.734,MS
28069,0.032,0.021,0.053,0.082,0.177,0.687,0.864,MS
28071,0.019,0.059,0.078,0.161,0.2,0.56,0.76,MS
28073,0.087,0.045,0.132,0.08,0.27,0.517,0.787,MS
28075,0.036,0.018,0.054,0.105,0.197,0.643,0.84,MS
28077,0.119,0.133,0.252,0.142,0.135,0.471,0.606,MS
28079,0.031,0.04,0.071,0.139,0.158,0.633,0.791,MS
28081,0.094,0.092,0.186,0.13,0.18,0.505,0.685,MS
28083,0.122,0.093,0.215,0.119,0.129,0.537,0.666,MS
28085,0.077,0.129,0.206,0.136,0.142,0.516,0.658,MS
28087,0.018,0.052,0.07,0.148,0.193,0.59,0.783,MS
28089,0.029,0.043,0.072,0.184,0.242,0.502,0.744,MS
28091,0.137,0.096,0.233,0.103,0.255,0.408,0.663,MS
28093,0.013,0.006,0.019,0.13,0.301,0.55,0.851,MS
28095,0.087,0.064,0.151,0.139,0.171,0.539,0.71,MS
28097,0.058,0.176,0.234,0.109,0.147,0.51,0.657,MS
28099,0.017,0.018,0.035,0.066,0.171,0.729,0.9,MS
28101,0.01,0.025,0.035,0.1,0.203,0.662,0.865,MS
28103,0.009,0.034,0.043,0.112,0.203,0.642,0.845,MS
28105,0.015,0.07,0.085,0.081,0.242,0.591,0.833,MS
28107,0.061,0.158,0.219,0.113,0.269,0.399,0.668,MS
28109,0.05,0.124,0.174,0.088,0.251,0.487,0.738,MS
28111,0.057,0.056,0.113,0.11,0.273,0.503,0.776,MS
28113,0.116,0.092,0.208,0.106,0.155,0.531,0.686,MS
28115,0.06,0.113,0.173,0.114,0.197,0.516,0.713,MS
28117,0.103,0.104,0.207,0.17,0.234,0.389,0.623,MS
28119,0.041,0.101,0.142,0.1,0.312,0.446,0.758,MS
28121,0.031,0.103,0.134,0.127,0.179,0.561,0.74,MS
28123,0.026,0.049,0.075,0.129,0.252,0.543,0.795,MS
28125,0.066,0.068,0.134,0.148,0.128,0.59,0.718,MS
28127,0.081,0.124,0.205,0.149,0.154,0.491,0.645,MS
28129,0.106,0.172,0.278,0.111,0.194,0.417,0.611,MS
28131,0.109,0.064,0.173,0.124,0.224,0.479,0.703,MS
28133,0.137,0.064,0.201,0.118,0.182,0.498,0.68,MS
28135,0.061,0.086,0.147,0.118,0.274,0.461,0.735,MS
28137,0.097,0.052,0.149,0.149,0.265,0.437,0.702,MS
28139,0.068,0.069,0.137,0.217,0.213,0.434,0.647,MS
28141,0.072,0.179,0.251,0.155,0.225,0.37,0.595,MS
28143,0.131,0.036,0.167,0.089,0.176,0.568,0.744,MS
28145,0.078,0.085,0.163,0.148,0.219,0.47,0.689,MS
28147,0.158,0.086,0.244,0.134,0.213,0.409,0.622,MS
28149,0.021,0.079,0.1,0.095,0.217,0.586,0.803,MS
28151,0.138,0.084,0.222,0.164,0.114,0.5,0.614,MS
28153,0.037,0.062,0.099,0.121,0.194,0.587,0.781,MS
28155,0.052,0.145,0.197,0.079,0.222,0.502,0.724,MS
28157,0.146,0.143,0.289,0.075,0.155,0.481,0.636,MS
28159,0.029,0.038,0.067,0.057,0.199,0.676,0.875,MS
28161,0.029,0.108,0.137,0.121,0.217,0.523,0.74,MS
28163,0.05,0.038,0.088,0.145,0.159,0.608,0.767,MS
MAX,0.158,0.179,0.289,0.246,0.346,0.729,0.9,MS
MIN,0.009,0.006,0.019,0.057,0.084,0.37,0.595,MS
AVERAGE,0.067817073,0.084487805,0.152304878,0.119536585,0.201231707,0.526878049,0.728109756,MS
29001,0.067,0.098,0.165,0.187,0.253,0.395,0.648,MO
29003,0.133,0.197,0.33,0.164,0.234,0.272,0.506,MO
29005,0.09,0.144,0.234,0.097,0.287,0.382,0.669,MO
29007,0.11,0.078,0.188,0.203,0.281,0.327,0.608,MO
29009,0.106,0.06,0.166,0.256,0.235,0.343,0.578,MO
29011,0.15,0.131,0.281,0.134,0.111,0.474,0.585,MO
29013,0.138,0.068,0.206,0.112,0.237,0.444,0.681,MO
29015,0.188,0.122,0.31,0.168,0.277,0.245,0.522,MO
29017,0.097,0.152,0.249,0.132,0.268,0.35,0.618,MO
29019,0.073,0.075,0.148,0.113,0.224,0.515,0.739,MO
29021,0.121,0.183,0.304,0.175,0.219,0.302,0.521,MO
29023,0.189,0.175,0.364,0.16,0.135,0.342,0.477,MO
29025,0.109,0.133,0.242,0.211,0.18,0.367,0.547,MO
29027,0.123,0.12,0.243,0.217,0.196,0.344,0.54,MO
29029,0.266,0.093,0.359,0.147,0.124,0.371,0.495,MO
29031,0.08,0.109,0.189,0.137,0.285,0.389,0.674,MO
29033,0.155,0.13,0.285,0.078,0.286,0.351,0.637,MO
29035,0.159,0.285,0.444,0.151,0.125,0.281,0.406,MO
29037,0.027,0.082,0.109,0.17,0.185,0.535,0.72,MO
29039,0.275,0.056,0.331,0.173,0.155,0.341,0.496,MO
29041,0.117,0.141,0.258,0.084,0.278,0.38,0.658,MO
29043,0.13,0.113,0.243,0.053,0.253,0.451,0.704,MO
29045,0.154,0.138,0.292,0.165,0.223,0.32,0.543,MO
29047,0.033,0.037,0.07,0.076,0.199,0.655,0.854,MO
29049,0.066,0.103,0.169,0.106,0.209,0.517,0.726,MO
29051,0.087,0.185,0.272,0.107,0.187,0.434,0.621,MO
29053,0.06,0.09,0.15,0.127,0.183,0.54,0.723,MO
29055,0.167,0.148,0.315,0.136,0.159,0.391,0.55,MO
29057,0.312,0.044,0.356,0.138,0.136,0.369,0.505,MO
29059,0.165,0.143,0.308,0.167,0.154,0.371,0.525,MO
29061,0.124,0.166,0.29,0.172,0.247,0.291,0.538,MO
29063,0.144,0.133,0.277,0.159,0.241,0.323,0.564,MO
29065,0.167,0.169,0.336,0.175,0.196,0.293,0.489,MO
29067,0.285,0.149,0.434,0.07,0.167,0.328,0.495,MO
29069,0.068,0.085,0.153,0.154,0.215,0.478,0.693,MO
29071,0.122,0.086,0.208,0.1,0.233,0.458,0.691,MO
29073,0.086,0.207,0.293,0.168,0.135,0.404,0.539,MO
29075,0.101,0.166,0.267,0.182,0.299,0.251,0.55,MO
29077,0.099,0.082,0.181,0.128,0.272,0.418,0.69,MO
29079,0.195,0.193,0.388,0.129,0.247,0.236,0.483,MO
29081,0.173,0.128,0.301,0.215,0.248,0.236,0.484,MO
29083,0.128,0.147,0.275,0.117,0.345,0.262,0.607,MO
29085,0.182,0.18,0.362,0.159,0.164,0.316,0.48,MO
29087,0.129,0.223,0.352,0.156,0.232,0.26,0.492,MO
29089,0.076,0.096,0.172,0.107,0.191,0.531,0.722,MO
29091,0.301,0.142,0.443,0.208,0.107,0.242,0.349,MO
29093,0.133,0.091,0.224,0.072,0.28,0.423,0.703,MO
29095,0.027,0.066,0.093,0.088,0.21,0.609,0.819,MO
29097,0.138,0.152,0.29,0.147,0.176,0.388,0.564,MO
29099,0.042,0.117,0.159,0.178,0.216,0.447,0.663,MO
29101,0.168,0.107,0.275,0.026,0.189,0.511,0.7,MO
29103,0.082,0.112,0.194,0.182,0.271,0.353,0.624,MO
29105,0.313,0.121,0.434,0.172,0.107,0.287,0.394,MO
29107,0.033,0.098,0.131,0.052,0.247,0.571,0.818,MO
